,match_id,start_date,ground_loc,winning_team_name,losing_team_name,winning_innings_number,winning_overs,winning_runs,winning_wickets,winning_RR,losing_innings_number,losing_overs,losing_runs,losing_wickets,losing_RR,NRR,winning_team_prematch_elo,losing_team_prematch_elo,prematch_elo_difference,winning_team_win_percentage,elo_change,winning_team_postmatch_elo,losing_team_postmatch_elo
59,KKR vs MI - 11-May-24,2024-05-11 00:00:00,Eden Gardens,KKR,MI,1,16.0,157,7,9.81,2,16.0,139,8,8.68,1.1300000000000008,1145.7699999999998,966.69,-179.0799999999997,0.74,13.85,1159.6199999999997,952.84
60,CSK vs RR - 12-May-24,2024-05-12 00:00:00,Chennai,CSK,RR,2,18.2,145,5,7.9,1,20.0,141,5,7.05,0.8500000000000005,1017.4099999999997,1071.5300000000002,54.12000000000046,0.42,26.83,1044.2399999999998,1044.7000000000003
61,DC vs RCB - 12-May-24,2024-05-12 00:00:00,Bengaluru,RCB,DC,1,20.0,187,9,9.35,2,19.1,140,10,7.3,2.05,1026.33,1015.88,-10.449999999999932,0.52,36.6,1062.9299999999998,979.28
62,DC vs LSG - 14-May-24,2024-05-14 00:00:00,Delhi,DC,LSG,1,20.0,208,4,10.4,2,20.0,189,9,9.45,0.9500000000000011,979.28,850.4300000000003,-128.84999999999968,0.68,15.6,994.88,834.8300000000003
63,Punjab Kings vs RR - 15-May-24,2024-05-15 00:00:00,Guwahati,Punjab Kings,RR,2,18.5,145,5,7.69,1,20.0,144,9,7.2,0.4900000000000002,942.91,1044.7000000000003,101.7900000000003,0.36,23.84,966.75,1020.8600000000002
64,LSG vs MI - 17-May-24,2024-05-17 00:00:00,Wankhede,LSG,MI,1,20.0,214,6,10.7,2,20.0,196,6,9.8,0.8999999999999986,834.8300000000003,952.84,118.00999999999976,0.34,31.35,866.1800000000003,921.49
65,CSK vs RCB - 18-May-24,2024-05-18 00:00:00,Bengaluru,RCB,CSK,1,20.0,218,5,10.9,2,20.0,191,7,9.55,1.3499999999999996,1062.9299999999998,1044.2399999999998,-18.690000000000055,0.53,27.61,1090.5399999999997,1016.6299999999998
66,Punjab Kings vs SRH - 19-May-24,2024-05-19 00:00:00,Hyderabad,SRH,Punjab Kings,2,19.1,215,6,11.21,1,20.0,214,5,10.7,0.5100000000000016,1096.5499999999997,966.75,-129.79999999999973,0.68,12.08,1108.6299999999997,954.67
67,KKR vs SRH - 21-May-24,2024-05-21 00:00:00,Ahmedabad,KKR,SRH,2,13.4,164,2,12,1,19.3,159,10,8.15,3.8499999999999996,1159.6199999999997,1108.6299999999997,-50.99000000000001,0.57,52.14,1211.7599999999998,1056.4899999999996
68,RCB vs RR - 22-May-24,2024-05-22 00:00:00,Ahmedabad,RR,RCB,2,19.0,174,6,9.15,1,20.0,172,8,8.6,0.5500000000000007,1020.8600000000002,1090.5399999999997,69.6799999999995,0.4,23.25,1044.1100000000001,1067.2899999999997
69,RR vs SRH - 24-May-24,2024-05-24 00:00:00,Chennai,SRH,RR,1,20.0,175,9,8.75,2,20.0,139,7,6.95,1.7999999999999998,1056.4899999999996,1044.1100000000001,-12.379999999999427,0.52,33.6,1090.0899999999995,1010.5100000000001
70,KKR vs SRH - 26-May-24,2024-05-26 00:00:00,Chennai,KKR,SRH,2,10.3,114,2,10.85,1,18.3,113,10,6.1,4.75,1211.7599999999998,1090.0899999999995,-121.6700000000003,0.67,47.44,1259.1999999999998,1042.6499999999994
